user_id,department,day,login_count,file_access,web_requests,email_count,device_events,after_hours,synthetic_anomaly
user_006,Finance,6,2,33,76,12,3,0,0
user_006,Finance,7,6,30,78,24,2,0,0
user_006,Finance,8,4,11,143,3,1,0,0
user_006,Finance,9,6,28,121,14,2,0,0
user_006,Finance,10,6,25,133,10,1,0,0
user_007,HR,1,5,31,135,13,1,0,0
user_007,HR,2,2,29,115,13,1,0,0
user_007,HR,3,6,21,101,20,0,0,0
user_007,HR,4,6,37,126,23,1,0,0
user_007,HR,5,4,27,107,16,1,0,0
user_007,HR,6,6,26,85,12,2,0,0
user_007,HR,7,7,23,113,18,0,0,0
user_007,HR,8,13,89,201,14,8,1,1
user_007,HR,9,17,87,176,19,4,1,1
user_007,HR,10,19,96,248,22,5,1,1
user_008,IT,1,7,43,110,22,1,0,0
user_008,IT,2,6,27,156,25,1,0,0
user_008,IT,3,6,42,157,16,2,0,0
user_008,IT,4,4,42,111,21,3,0,0
user_008,IT,5,7,48,148,19,2,0,0
user_008,IT,6,8,42,165,18,3,1,0
user_008,IT,7,7,33,147,9,4,0,0
user_008,IT,8,7,21,148,19,3,0,0
user_008,IT,9,7,32,135,12,3,0,0
user_008,IT,10,5,32,142,16,0,0,0
user_009,Sales,1,10,28,83,18,1,0,0
user_009,Sales,2,5,25,158,22,2,0,0
user_009,Sales,3,5,41,151,17,3,0,0
user_009,Sales,4,6,26,144,32,3,0,0
user_009,Sales,5,10,48,142,20,2,0,0
user_009,Sales,6,9,40,164,29,3,0,0
user_009,Sales,7,6,47,85,12,1,0,0
user_009,Sales,8,4,35,166,26,1,0,0
user_009,Sales,9,4,53,147,26,2,0,0
user_009,Sales,10,5,35,172,23,0,0,0
user_010,Operations,1,2,26,130,17,2,0,0
user_010,Operations,2,5,21,107,19,0,0,0
user_010,Operations,3,5,37,77,9,3,0,0
user_010,Operations,4,3,33,68,13,2,0,0
user_010,Operations,5,4,37,98,8,1,0,0
user_010,Operations,6,3,24,123,12,2,0,0
user_010,Operations,7,2,19,69,12,1,0,0
user_010,Operations,8,5,22,91,6,1,0,0
user_010,Operations,9,6,29,82,16,1,0,0
user_010,Operations,10,3,13,168,10,1,0,0
user_011,Finance,1,5,44,94,24,3,0,0
user_011,Finance,2,4,31,90,9,0,0,0
user_011,Finance,3,8,30,103,21,1,0,0
user_011,Finance,4,7,34,113,13,4,0,0
user_011,Finance,5,5,28,131,16,0,0,0
user_011,Finance,6,5,32,160,17,2,0,0
user_011,Finance,7,3,26,137,24,2,0,0
user_011,Finance,8,5,24,101,10,1,0,0
user_011,Finance,9,3,44,100,22,0,1,0
user_011,Finance,10,6,35,107,17,0,0,0
user_012,HR,1,5,39,114,19,1,1,0
user_012,HR,2,3,27,119,16,1,0,0
user_012,HR,3,4,43,61,10,1,0,0
user_012,HR,4,5,32,115,16,1,0,0
user_012,HR,5,2,20,123,12,0,0,0
user_012,HR,6,5,27,130,8,2,0,0
user_012,HR,7,4,18,117,15,0,0,0
user_012,HR,8,2,42,105,17,0,0,0
user_012,HR,9,5,37,81,16,2,0,0
user_012,HR,10,4,37,94,11,2,0,0
user_013,IT,1,3,35,90,11,1,0,0
user_013,IT,2,4,30,116,16,0,0,0
user_013,IT,3,8,30,95,15,0,0,0
user_013,IT,4,4,27,106,15,2,0,0
user_013,IT,5,6,23,138,16,2,0,0
user_013,IT,6,2,38,105,17,3,0,0
user_013,IT,7,7,26,136,25,1,0,0
user_013,IT,8,7,21,106,12,1,0,0
user_013,IT,9,3,22,109,16,2,0,0
user_013,IT,10,2,31,84,23,1,0,0
user_014,Sales,1,4,22,96,20,1,0,0
user_014,Sales,2,8,50,103,22,1,0,0
user_014,Sales,3,7,29,112,23,2,0,0
user_014,Sales,4,5,39,88,26,4,0,0
user_014,Sales,5,7,34,162,24,3,1,0
user_014,Sales,6,8,46,163,20,1,0,0
user_014,Sales,7,5,47,115,19,1,0,0
user_014,Sales,8,8,46,113,22,1,0,0
user_014,Sales,9,5,32,115,14,2,0,0
user_014,Sales,10,6,36,84,21,2,0,0
user_015,Operations,1,4,30,80,18,1,0,0
user_015,Operations,2,6,30,111,10,0,0,0
user_015,Operations,3,2,28,101,21,0,0,0
user_015,Operations,4,5,21,101,12,1,0,0
user_015,Operations,5,6,27,134,12,0,0,0
user_015,Operations,6,5,30,87,11,2,0,0
user_015,Operations,7,4,26,109,10,3,0,0
user_015,Operations,8,5,45,88,14,0,0,0
user_015,Operations,9,5,22,103,11,1,0,0
user_015,Operations,10,5,29,59,16,1,0,0
user_016,Finance,1,4,26,89,16,2,0,0
user_016,Finance,2,4,32,139,18,0,0,0
user_016,Finance,3,4,33,149,8,2,0,0
user_016,Finance,4,4,31,71,22,2,0,0
user_016,Finance,5,3,17,59,20,1,0,0
user_016,Finance,6,4,28,110,9,2,0,0
user_016,Finance,7,3,36,71,20,0,0,0
user_016,Finance,8,5,23,128,10,0,0,0
user_016,Finance,9,4,17,103,15,4,0,0
user_016,Finance,10,6,29,128,11,2,0,0
user_017,HR,1,4,35,121,9,1,0,0
user_017,HR,2,4,43,121,18,1,0,0
user_017,HR,3,6,45,153,18,3,1,0
user_017,HR,4,5,34,194,28,1,0,0
user_017,HR,5,6,48,137,19,0,0,0
user_017,HR,6,10,41,174,13,1,0,0
user_017,HR,7,6,51,137,12,1,0,0
user_017,HR,8,10,23,118,27,3,0,0
user_017,HR,9,4,48,125,18,2,0,0
user_017,HR,10,7,39,135,14,2,0,0
user_018,IT,1,6,45,109,6,1,0,0
user_018,IT,2,4,62,135,20,1,0,0
user_018,IT,3,5,25,135,15,2,0,0
user_018,IT,4,6,23,97,12,2,0,0
user_018,IT,5,4,34,120,15,0,0,0
user_018,IT,6,3,39,97,21,1,0,0
user_018,IT,7,3,42,109,21,1,0,0
user_018,IT,8,22,88,290,22,6,1,1
user_018,IT,9,12,97,287,19,7,1,1
user_018,IT,10,16,100,352,19,11,1,1
user_019,Sales,1,5,22,130,8,3,0,0
user_019,Sales,2,5,31,109,25,1,0,0
user_019,Sales,3,6,44,105,21,3,0,0
user_019,Sales,4,5,29,121,16,1,0,0
user_019,Sales,5,6,41,100,21,1,0,0
user_019,Sales,6,3,35,117,20,3,0,0
user_019,Sales,7,5,44,86,17,1,0,0
user_019,Sales,8,8,27,122,14,0,0,0
user_019,Sales,9,7,35,111,16,1,0,0
user_019,Sales,10,6,32,135,25,1,0,0
user_020,Operations,1,5,24,136,9,3,1,0
user_020,Operations,2,7,51,120,21,0,0,0
user_020,Operations,3,5,25,118,17,1,0,0
user_020,Operations,4,8,42,65,25,2,0,0
user_020,Operations,5,4,28,97,19,1,0,0
user_020,Operations,6,6,29,113,6,1,0,0
user_020,Operations,7,5,18,121,13,2,0,0
user_020,Operations,8,6,34,77,20,3,0,0
user_020,Operations,9,5,19,60,20,0,0,0
user_020,Operations,10,4,40,87,18,2,0,0
user_021,Finance,1,5,34,89,16,1,0,0
user_021,Finance,2,5,46,133,20,0,0,0
user_021,Finance,3,3,34,124,6,0,0,0
user_021,Finance,4,6,28,136,17,2,0,0
user_021,Finance,5,6,27,103,10,2,0,0
user_021,Finance,6,6,23,121,19,2,0,0
user_021,Finance,7,4,36,74,11,1,0,0
user_021,Finance,8,5,29,92,15,0,0,0
user_021,Finance,9,6,27,98,15,0,0,0
user_021,Finance,10,8,23,131,20,1,0,0
user_022,HR,1,7,28,153,12,1,0,0
user_022,HR,2,5,32,144,18,2,0,0
user_022,HR,3,8,36,135,22,3,0,0
user_022,HR,4,8,41,86,21,2,0,0
user_022,HR,5,6,34,123,22,3,0,0
user_022,HR,6,4,43,157,13,3,0,0
user_022,HR,7,5,41,133,14,1,0,0
user_022,HR,8,6,24,143,11,4,0,0
user_022,HR,9,5,40,111,24,4,0,0
user_022,HR,10,6,42,148,13,0,0,0
user_023,IT,1,6,16,91,23,1,0,0
user_023,IT,2,8,11,124,16,2,0,0
user_023,IT,3,5,29,82,15,2,1,0
user_023,IT,4,4,43,80,9,0,0,0
user_023,IT,5,4,44,96,12,1,1,0
user_023,IT,6,3,34,110,18,0,0,0
user_023,IT,7,4,28,95,19,2,0,0
user_023,IT,8,5,25,104,20,0,1,0
user_023,IT,9,3,28,117,19,1,0,0
user_023,IT,10,4,27,91,16,1,0,0
user_024,Sales,1,7,34,98,21,0,0,0
user_024,Sales,2,2,49,124,13,3,0,0
user_024,Sales,3,6,22,116,19,0,0,0
user_024,Sales,4,5,36,92,15,0,0,0
user_024,Sales,5,8,40,100,19,2,1,0
user_024,Sales,6,6,43,108,24,1,0,0
user_024,Sales,7,6,29,93,24,2,0,0
user_024,Sales,8,5,23,159,17,0,0,0
user_024,Sales,9,7,33,63,18,0,0,0
user_024,Sales,10,5,44,136,20,0,0,0
user_025,Operations,1,4,23,78,11,1,1,0
user_025,Operations,2,3,34,82,18,1,0,0
user_025,Operations,3,5,28,84,11,2,0,0
user_025,Operations,4,2,35,126,15,1,1,0
user_025,Operations,5,5,21,75,19,0,0,0
user_025,Operations,6,3,19,130,9,1,0,0
user_025,Operations,7,4,24,130,20,0,0,0
user_025,Operations,8,5,28,119,1,2,0,0
user_025,Operations,9,6,24,134,21,0,0,0
user_025,Operations,10,5,39,119,17,0,0,0
user_026,Finance,1,1,24,122,8,2,0,0
user_026,Finance,2,4,24,98,15,2,0,0
user_026,Finance,3,6,30,68,21,0,0,0
user_026,Finance,4,4,17,191,13,0,0,0
user_026,Finance,5,5,26,134,13,0,0,0
user_026,Finance,6,5,38,68,12,1,0,0
user_026,Finance,7,1,36,111,15,1,0,0
user_026,Finance,8,17,89,257,24,8,1,1
user_026,Finance,9,14,131,269,13,8,1,1
user_026,Finance,10,15,110,273,24,10,1,1
user_027,HR,1,4,26,101,14,3,0,0
user_027,HR,2,5,31,96,18,2,0,0
user_027,HR,3,4,34,99,14,1,0,0
user_027,HR,4,3,38,113,12,2,0,0
user_027,HR,5,4,35,116,19,1,0,0
user_027,HR,6,7,34,166,19,2,0,0
user_027,HR,7,4,46,85,17,1,1,0
user_027,HR,8,5,42,105,20,1,0,0
user_027,HR,9,7,36,142,12,0,0,0
user_027,HR,10,6,18,137,16,0,0,0
user_028,IT,1,4,31,105,16,0,0,0
user_028,IT,2,5,45,112,27,3,0,0
user_028,IT,3,6,26,154,14,2,0,0
user_028,IT,4,7,37,119,14,2,0,0
user_028,IT,5,4,27,99,23,3,0,0
user_028,IT,6,9,31,136,20,0,0,0
user_028,IT,7,4,47,89,22,3,0,0
user_028,IT,8,5,31,77,22,2,0,0
user_028,IT,9,6,20,79,13,1,0,0
user_028,IT,10,5,22,82,21,3,1,0
user_029,Sales,1,7,42,135,23,1,0,0
user_029,Sales,2,5,55,117,21,2,0,0
user_029,Sales,3,7,48,125,16,2,0,0
user_029,Sales,4,7,37,161,22,0,0,0
user_029,Sales,5,6,30,148,24,1,0,0
user_029,Sales,6,6,39,161,23,3,0,0
user_029,Sales,7,5,56,147,17,3,0,0
user_029,Sales,8,8,55,135,29,1,0,0
user_029,Sales,9,6,53,126,25,2,0,0
user_029,Sales,10,8,23,127,20,1,0,0
user_030,Operations,1,6,48,89,17,3,0,0
user_030,Operations,2,6,47,149,24,2,0,0
user_030,Operations,3,3,46,144,14,2,0,0
user_030,Operations,4,9,25,80,24,2,0,0
user_030,Operations,5,5,17,137,17,2,0,0
user_030,Operations,6,5,44,123,6,2,0,0
user_030,Operations,7,8,28,156,19,4,0,0
user_030,Operations,8,8,46,122,6,2,0,0
user_030,Operations,9,5,37,135,20,1,0,0
user_030,Operations,10,6,35,80,10,1,0,0
